year,cd,Industry,Income,District_number,State,cd_name,scaled
2019,11_MI,Manufacturing,150k and more,11,Michigan,us-mi-11,4
2019,11_NC,Educationalservices healthcare socialassistance,50k-74k,11,North Carolina,us-nc-11,1
2019,11_NJ,Educationalservices healthcare socialassistance,150k and more,11,New Jersey,us-nj-11,1
2019,11_NY,Educationalservices healthcare socialassistance,150k and more,11,New York,us-ny-11,1
2019,11_OH,Educationalservices healthcare socialassistance,50k-74k,11,Ohio,us-oh-11,1
2019,11_PA,Educationalservices healthcare socialassistance,50k-74k,11,Pennsylvania,us-pa-11,1
2019,11_TX,Educationalservices healthcare socialassistance,50k-74k,11,Texas,us-tx-11,1
2019,11_VA,Professional services,150k and more,11,Virginia,us-va-11,2
2019,12_CA,Educationalservices healthcare socialassistance,150k and more,12,California,us-ca-12,1
2019,12_FL,Educationalservices healthcare socialassistance,50k-74k,12,Florida,us-fl-12,1
2019,12_GA,Educationalservices healthcare socialassistance,50k-74k,12,Georgia,us-ga-12,1
2019,12_IL,Educationalservices healthcare socialassistance,50k-74k,12,Illinois,us-il-12,1
2019,12_MI,Educationalservices healthcare socialassistance,50k-74k,12,Michigan,us-mi-12,1
2019,12_NC,Educationalservices healthcare socialassistance,50k-74k,12,North Carolina,us-nc-12,1
2019,12_NJ,Educationalservices healthcare socialassistance,150k and more,12,New Jersey,us-nj-12,1
2019,12_NY,Professional services,150k and more,12,New York,us-ny-12,2
2019,12_OH,Educationalservices healthcare socialassistance,50k-74k,12,Ohio,us-oh-12,1
2019,12_PA,Educationalservices healthcare socialassistance,50k-74k,12,Pennsylvania,us-pa-12,1
2019,12_TX,Educationalservices healthcare socialassistance,50k-74k,12,Texas,us-tx-12,1
2019,13_CA,Educationalservices healthcare socialassistance,50k-74k,13,California,us-ca-13,1
2019,13_FL,Educationalservices healthcare socialassistance,50k-74k,13,Florida,us-fl-13,1
2019,13_GA,Educationalservices healthcare socialassistance,50k-74k,13,Georgia,us-ga-13,1
2019,13_IL,Educationalservices healthcare socialassistance,50k-74k,13,Illinois,us-il-13,1
2019,13_MI,Educationalservices healthcare socialassistance,50k-74k,13,Michigan,us-mi-13,1
2019,13_NC,Educationalservices healthcare socialassistance,50k-74k,13,North Carolina,us-nc-13,1
2019,13_NY,Educationalservices healthcare socialassistance,50k-74k,13,New York,us-ny-13,1
2019,13_OH,Educationalservices healthcare socialassistance,50k-74k,13,Ohio,us-oh-13,1
2019,13_PA,Educationalservices healthcare socialassistance,50k-74k,13,Pennsylvania,us-pa-13,1
2019,13_TX,Educationalservices healthcare socialassistance,50k-74k,13,Texas,us-tx-13,1
2019,14_CA,Professional services,150k and more,14,California,us-ca-14,2
2019,14_FL,Educationalservices healthcare socialassistance,50k-74k,14,Florida,us-fl-14,1
2019,14_GA,Manufacturing,50k-74k,14,Georgia,us-ga-14,4
2019,14_IL,Educationalservices healthcare socialassistance,100k-149k,14,Illinois,us-il-14,1
2019,14_NC,Educationalservices healthcare socialassistance,50k-74k,14,North Carolina,us-nc-14,1
2019,14_NY,Educationalservices healthcare socialassistance,50k-74k,14,New York,us-ny-14,1
2019,14_OH,Manufacturing,50k-74k,14,Ohio,us-oh-14,4
2019,14_PA,Educationalservices healthcare socialassistance,50k-74k,14,Pennsylvania,us-pa-14,1
2019,14_TX,Educationalservices healthcare socialassistance,50k-74k,14,Texas,us-tx-14,1
2019,15_CA,Professional services,150k and more,15,California,us-ca-15,2
2019,15_FL,Educationalservices healthcare socialassistance,50k-74k,15,Florida,us-fl-15,1
2019,15_IL,Educationalservices healthcare socialassistance,50k-74k,15,Illinois,us-il-15,1
2019,15_NY,Educationalservices healthcare socialassistance,50k-74k,15,New York,us-ny-15,1
2019,15_OH,Educationalservices healthcare socialassistance,50k-74k,15,Ohio,us-oh-15,1
2019,15_PA,Educationalservices healthcare socialassistance,50k-74k,15,Pennsylvania,us-pa-15,1
2019,15_TX,Educationalservices healthcare socialassistance,50k-74k,15,Texas,us-tx-15,1
2019,16_CA,Professional services,150k and more,16,California,us-ca-16,2
2019,16_FL,Educationalservices healthcare socialassistance,50k-74k,16,Florida,us-fl-16,1
2019,16_IL,Manufacturing,50k-74k,16,Illinois,us-il-16,4
2019,16_NY,Educationalservices healthcare socialassistance,150k and more,16,New York,us-ny-16,1
2019,16_PA,Educationalservices healthcare socialassistance,50k-74k,16,Pennsylvania,us-pa-16,1
2019,16_TX,Educationalservices healthcare socialassistance,50k-74k,16,Texas,us-tx-16,1
2019,17_CA,Professional services,150k and more,17,California,us-ca-17,2
2019,17_FL,Educationalservices healthcare socialassistance,50k-74k,17,Florida,us-fl-17,1
2019,17_IL,Educationalservices healthcare socialassistance,50k-74k,17,Illinois,us-il-17,1
2019,17_NY,Educationalservices healthcare socialassistance,150k and more,17,New York,us-ny-17,1
2019,17_PA,Educationalservices healthcare socialassistance,50k-74k,17,Pennsylvania,us-pa-17,1
2019,17_TX,Educationalservices healthcare socialassistance,50k-74k,17,Texas,us-tx-17,1
2019,18_CA,Educationalservices healthcare socialassistance,150k and more,18,California,us-ca-18,1
2019,18_FL,Educationalservices healthcare socialassistance,50k-74k,18,Florida,us-fl-18,1
2019,18_NY,Educationalservices healthcare socialassistance,150k and more,18,New York,us-ny-18,1
2019,18_TX,Educationalservices healthcare socialassistance,50k-74k,18,Texas,us-tx-18,1
2019,19_CA,Educationalservices healthcare socialassistance,150k and more,19,California,us-ca-19,1
2019,19_FL,Educationalservices healthcare socialassistance,50k-74k,19,Florida,us-fl-19,1
2019,19_NY,Educationalservices healthcare socialassistance,50k-74k,19,New York,us-ny-19,1
2019,19_TX,Educationalservices healthcare socialassistance,50k-74k,19,Texas,us-tx-19,1
2019,2_AL,Educationalservices healthcare socialassistance,50k-74k,2,Alabama,us-al-02,1
2019,2_AR,Educationalservices healthcare socialassistance,50k-74k,2,Arkansas,us-ar-02,1
2019,2_AZ,Educationalservices healthcare socialassistance,50k-74k,2,Arizona,us-az-02,1
2019,2_CA,Educationalservices healthcare socialassistance,150k and more,2,California,us-ca-02,1
2019,2_CO,Educationalservices healthcare socialassistance,150k and more,2,Colorado,us-co-02,1
2019,2_CT,Educationalservices healthcare socialassistance,150k and more,2,Connecticut,us-ct-02,1
2019,2_FL,Educationalservices healthcare socialassistance,50k-74k,2,Florida,us-fl-02,1
2019,2_GA,Educationalservices healthcare socialassistance,50k-74k,2,Georgia,us-ga-02,1
2019,2_HI,Educationalservices healthcare socialassistance,100k-149k,2,Hawaii,us-hi-02,1
2019,2_IA,Manufacturing,50k-74k,2,Iowa,us-ia-02,4
2019,2_ID,Educationalservices healthcare socialassistance,50k-74k,2,Idaho,us-id-02,1
2019,2_IL,Educationalservices healthcare socialassistance,50k-74k,2,Illinois,us-il-02,1
2019,2_IN,Manufacturing,50k-74k,2,Indiana,us-in-02,4
2019,2_KS,Educationalservices healthcare socialassistance,50k-74k,2,Kansas,us-ks-02,1
2019,2_KY,Manufacturing,50k-74k,2,Kentucky,us-ky-02,4
2019,2_LA,Educationalservices healthcare socialassistance,50k-74k,2,Louisiana,us-la-02,1
2019,2_MA,Educationalservices healthcare socialassistance,150k and more,2,Massachusetts,us-ma-02,1
2019,2_MD,Educationalservices healthcare socialassistance,150k and more,2,Maryland,us-md-02,1
2019,2_ME,Educationalservices healthcare socialassistance,50k-74k,2,Maine,us-me-02,1
2019,2_MI,Manufacturing,50k-74k,2,Michigan,us-mi-02,4
2019,2_MN,Educationalservices healthcare socialassistance,150k and more,2,Minnesota,us-mn-02,1
2019,2_MO,Educationalservices healthcare socialassistance,150k and more,2,Missouri,us-mo-02,1
2019,2_MS,Educationalservices healthcare socialassistance,50k-74k,2,Mississippi,us-ms-02,1
2019,2_MT,Educationalservices healthcare socialassistance,50k-74k,2,Montana,us-mt-02,1
2019,2_NC,Professional services,150k and more,2,North Carolina,us-nc-02,2
2019,2_NE,Educationalservices healthcare socialassistance,50k-74k,2,Nebraska,us-ne-02,1
2019,2_NH,Educationalservices healthcare socialassistance,150k and more,2,New Hampshire,us-nh-02,1
2019,2_NJ,Educationalservices healthcare socialassistance,100k-149k,2,New Jersey,us-nj-02,1
2019,2_NM,Educationalservices healthcare socialassistance,50k-74k,2,New Mexico,us-nm-02,1
2019,2_NV,Educationalservices healthcare socialassistance,50k-74k,2,Nevada,us-nv-02,1
2019,2_NY,Educationalservices healthcare socialassistance,150k and more,2,New York,us-ny-02,1
2019,2_OH,Educationalservices healthcare socialassistance,50k-74k,2,Ohio,us-oh-02,1
2019,2_OK,Educationalservices healthcare socialassistance,50k-74k,2,Oklahoma,us-ok-02,1
2019,2_OR,Educationalservices healthcare socialassistance,50k-74k,2,Oregon,us-or-02,1
2019,2_PA,Educationalservices healthcare socialassistance,50k-74k,2,Pennsylvania,us-pa-02,1
2019,2_RI,Educationalservices healthcare socialassistance,100k-149k,2,Rhode Island,us-ri-02,1
2019,2_SC,Educationalservices healthcare socialassistance,50k-74k,2,South Carolina,us-sc-02,1
2019,2_TN,Educationalservices healthcare socialassistance,50k-74k,2,Tennessee,us-tn-02,1
2019,2_TX,Educationalservices healthcare socialassistance,150k and more,2,Texas,us-tx-02,1
2019,2_UT,Educationalservices healthcare socialassistance,50k-74k,2,Utah,us-ut-02,1
2019,2_VA,Educationalservices healthcare socialassistance,100k-149k,2,Virginia,us-va-02,1
2019,2_WA,Educationalservices healthcare socialassistance,50k-74k,2,Washington,us-wa-02,1
2019,2_WI,Educationalservices healthcare socialassistance,100k-149k,2,Wisconsin,us-wi-02,1
2019,2_WV,Educationalservices healthcare socialassistance,50k-74k,2,West Virginia,us-wv-02,1
2019,20_CA,Educationalservices healthcare socialassistance,50k-74k,20,California,us-ca-20,1
2019,20_FL,Educationalservices healthcare socialassistance,50k-74k,20,Florida,us-fl-20,1
2019,20_NY,Educationalservices healthcare socialassistance,100k-149k,20,New York,us-ny-20,1
2019,20_TX,Educationalservices healthcare socialassistance,50k-74k,20,Texas,us-tx-20,1
2019,21_CA,Educationalservices healthcare socialassistance,50k-74k,21,California,us-ca-21,1
2019,21_FL,Educationalservices healthcare socialassistance,50k-74k,21,Florida,us-fl-21,1
2019,21_NY,Educationalservices healthcare socialassistance,50k-74k,21,New York,us-ny-21,1
2019,21_TX,Educationalservices healthcare socialassistance,50k-74k,21,Texas,us-tx-21,1
2019,22_CA,Educationalservices healthcare socialassistance,50k-74k,22,California,us-ca-22,1
2019,22_FL,Educationalservices healthcare socialassistance,50k-74k,22,Florida,us-fl-22,1
2019,22_NY,Educationalservices healthcare socialassistance,50k-74k,22,New York,us-ny-22,1
2019,22_TX,Educationalservices healthcare socialassistance,150k and more,22,Texas,us-tx-22,1
2019,23_CA,Educationalservices healthcare socialassistance,50k-74k,23,California,us-ca-23,1
2019,23_FL,Educationalservices healthcare socialassistance,150k and more,23,Florida,us-fl-23,1
2019,23_NY,Educationalservices healthcare socialassistance,50k-74k,23,New York,us-ny-23,1
2019,23_TX,Educationalservices healthcare socialassistance,50k-74k,23,Texas,us-tx-23,1
2019,24_CA,Educationalservices healthcare socialassistance,150k and more,24,California,us-ca-24,1
2019,24_FL,Educationalservices healthcare socialassistance,50k-74k,24,Florida,us-fl-24,1
2019,24_NY,Educationalservices healthcare socialassistance,50k-74k,24,New York,us-ny-24,1
2019,24_TX,Professional services,150k and more,24,Texas,us-tx-24,2
2019,25_CA,Educationalservices healthcare socialassistance,50k-74k,25,California,us-ca-25,1
2019,25_FL,Educationalservices healthcare socialassistance,50k-74k,25,Florida,us-fl-25,1
2019,25_NY,Educationalservices healthcare socialassistance,50k-74k,25,New York,us-ny-25,1
2019,25_TX,Educationalservices healthcare socialassistance,50k-74k,25,Texas,us-tx-25,1
2019,26_CA,Educationalservices healthcare socialassistance,150k and more,26,California,us-ca-26,1
2019,26_FL,Educationalservices healthcare socialassistance,50k-74k,26,Florida,us-fl-26,1
2019,26_NY,Educationalservices healthcare socialassistance,50k-74k,26,New York,us-ny-26,1
2019,26_TX,Educationalservices healthcare socialassistance,150k and more,26,Texas,us-tx-26,1
2019,27_CA,Educationalservices healthcare socialassistance,150k and more,27,California,us-ca-27,1
2019,27_FL,Educationalservices healthcare socialassistance,50k-74k,27,Florida,us-fl-27,1
2019,27_TX,Educationalservices healthcare socialassistance,50k-74k,27,Texas,us-tx-27,1
2019,28_CA,Educationalservices healthcare socialassistance,150k and more,28,California,us-ca-28,1
2019,28_FL,Educationalservices healthcare socialassistance,50k-74k,28,Florida,us-fl-28,1
2019,28_TX,Educationalservices healthcare socialassistance,50k-74k,28,Texas,us-tx-28,1
2019,29_CA,Educationalservices healthcare socialassistance,50k-74k,29,California,us-ca-29,1
2019,29_TX,Construction,50k-74k,29,Texas,us-tx-29,6
2019,3_AL,Educationalservices healthcare socialassistance,50k-74k,3,Alabama,us-al-03,1
2019,3_AR,Educationalservices healthcare socialassistance,50k-74k,3,Arkansas,us-ar-03,1
2019,3_AZ,Educationalservices healthcare socialassistance,50k-74k,3,Arizona,us-az-03,1
2019,3_CA,Educationalservices healthcare socialassistance,150k and more,3,California,us-ca-03,1
2019,3_CO,Educationalservices healthcare socialassistance,50k-74k,3,Colorado,us-co-03,1
2019,3_CT,Educationalservices healthcare socialassistance,150k and more,3,Connecticut,us-ct-03,1
2019,3_FL,Educationalservices healthcare socialassistance,50k-74k,3,Florida,us-fl-03,1
2019,3_GA,Educationalservices healthcare socialassistance,50k-74k,3,Georgia,us-ga-03,1
2019,3_IA,Educationalservices healthcare socialassistance,50k-74k,3,Iowa,us-ia-03,1
2019,3_IL,Educationalservices healthcare socialassistance,150k and more,3,Illinois,us-il-03,1
2019,3_IN,Manufacturing,50k-74k,3,Indiana,us-in-03,4
2019,3_KS,Educationalservices healthcare socialassistance,150k and more,3,Kansas,us-ks-03,1
2019,3_KY,Educationalservices healthcare socialassistance,50k-74k,3,Kentucky,us-ky-03,1
2019,3_LA,Educationalservices healthcare socialassistance,50k-74k,3,Louisiana,us-la-03,1
2019,3_MA,Educationalservices healthcare socialassistance,150k and more,3,Massachusetts,us-ma-03,1
2019,3_MD,Educationalservices healthcare socialassistance,150k and more,3,Maryland,us-md-03,1
2019,3_MI,Manufacturing,50k-74k,3,Michigan,us-mi-03,4
2019,3_MN,Manufacturing,150k and more,3,Minnesota,us-mn-03,4
2019,3_MO,Educationalservices healthcare socialassistance,50k-74k,3,Missouri,us-mo-03,1
2019,3_MS,Educationalservices healthcare socialassistance,50k-74k,3,Mississippi,us-ms-03,1
2019,3_NC,Educationalservices healthcare socialassistance,50k-74k,3,North Carolina,us-nc-03,1
2019,3_NE,Educationalservices healthcare socialassistance,50k-74k,3,Nebraska,us-ne-03,1
2019,3_NJ,Educationalservices healthcare socialassistance,150k and more,3,New Jersey,us-nj-03,1
2019,3_NM,Educationalservices healthcare socialassistance,50k-74k,3,New Mexico,us-nm-03,1
2019,3_NV,Arts entertainment and foodservices,50k-74k,3,Nevada,us-nv-03,3
2019,3_NY,Educationalservices healthcare socialassistance,150k and more,3,New York,us-ny-03,1
2019,3_OH,Educationalservices healthcare socialassistance,50k-74k,3,Ohio,us-oh-03,1
2019,3_OK,Educationalservices healthcare socialassistance,50k-74k,3,Oklahoma,us-ok-03,1
2019,3_OR,Educationalservices healthcare socialassistance,50k-74k,3,Oregon,us-or-03,1
2019,3_PA,Educationalservices healthcare socialassistance,50k-74k,3,Pennsylvania,us-pa-03,1
2019,3_SC,Manufacturing,50k-74k,3,South Carolina,us-sc-03,4
2019,3_TN,Educationalservices healthcare socialassistance,50k-74k,3,Tennessee,us-tn-03,1
2019,3_TX,Educationalservices healthcare socialassistance,150k and more,3,Texas,us-tx-03,1
2019,3_UT,Educationalservices healthcare socialassistance,50k-74k,3,Utah,us-ut-03,1
2019,3_VA,Educationalservices healthcare socialassistance,50k-74k,3,Virginia,us-va-03,1
2019,3_WA,Educationalservices healthcare socialassistance,50k-74k,3,Washington,us-wa-03,1
2019,3_WI,Educationalservices healthcare socialassistance,50k-74k,3,Wisconsin,us-wi-03,1
2019,30_CA,Educationalservices healthcare socialassistance,50k-74k,30,California,us-ca-30,1
2019,30_TX,Educationalservices healthcare socialassistance,50k-74k,30,Texas,us-tx-30,1
2019,31_CA,Educationalservices healthcare socialassistance,50k-74k,31,California,us-ca-31,1
2019,31_TX,Educationalservices healthcare socialassistance,50k-74k,31,Texas,us-tx-31,1
2019,32_CA,Educationalservices healthcare socialassistance,150k and more,32,California,us-ca-32,1
2019,32_TX,Educationalservices healthcare socialassistance,150k and more,32,Texas,us-tx-32,1
2019,33_CA,Transportation warehousing utilities,50k-74k,33,California,us-ca-33,7
2019,33_TX,Construction,50k-74k,33,Texas,us-tx-33,6
2019,34_CA,Educationalservices healthcare socialassistance,50k-74k,34,California,us-ca-34,1
2019,34_TX,Educationalservices healthcare socialassistance,50k-74k,34,Texas,us-tx-34,1
2019,35_CA,Educationalservices healthcare socialassistance,100k-149k,35,California,us-ca-35,1
2019,35_TX,Educationalservices healthcare socialassistance,50k-74k,35,Texas,us-tx-35,1
2019,36_CA,Professional services,150k and more,36,California,us-ca-36,2
2019,36_TX,Educationalservices healthcare socialassistance,50k-74k,36,Texas,us-tx-36,1
2019,37_CA,Professional services,150k and more,37,California,us-ca-37,2
2019,37_TX,Professional services,150k and more,37,Texas,us-tx-37,2
2019,38_CA,Educationalservices healthcare socialassistance,100k-149k,38,California,us-ca-38,1
2019,38_TX,Educationalservices healthcare socialassistance,50k-74k,38,Texas,us-tx-38,1
2019,39_CA,Educationalservices healthcare socialassistance,100k-149k,39,California,us-ca-39,1
2019,4_AL,Manufacturing,50k-74k,4,Alabama,us-al-04,4
2019,4_AR,Educationalservices healthcare socialassistance,50k-74k,4,Arkansas,us-ar-04,1
2019,4_AZ,Educationalservices healthcare socialassistance,50k-74k,4,Arizona,us-az-04,1
2019,4_CA,Educationalservices healthcare socialassistance,150k and more,4,California,us-ca-04,1
2019,4_CO,Educationalservices healthcare socialassistance,150k and more,4,Colorado,us-co-04,1
2019,4_CT,Educationalservices healthcare socialassistance,150k and more,4,Connecticut,us-ct-04,1
2019,4_FL,Educationalservices healthcare socialassistance,50k-74k,4,Florida,us-fl-04,1
2019,4_GA,Educationalservices healthcare socialassistance,50k-74k,4,Georgia,us-ga-04,1
2019,4_IA,Educationalservices healthcare socialassistance,50k-74k,4,Iowa,us-ia-04,1
2019,4_IL,Educationalservices healthcare socialassistance,50k-74k,4,Illinois,us-il-04,1
2019,4_IN,Manufacturing,50k-74k,4,Indiana,us-in-04,4
2019,4_KS,Educationalservices healthcare socialassistance,50k-74k,4,Kansas,us-ks-04,1
2019,4_KY,Educationalservices healthcare socialassistance,50k-74k,4,Kentucky,us-ky-04,1
2019,4_LA,Educationalservices healthcare socialassistance,50k-74k,4,Louisiana,us-la-04,1
2019,4_MA,Educationalservices healthcare socialassistance,150k and more,4,Massachusetts,us-ma-04,1
2019,4_MD,Educationalservices healthcare socialassistance,150k and more,4,Maryland,us-md-04,1
2019,4_MI,Manufacturing,50k-74k,4,Michigan,us-mi-04,4
2019,4_MN,Educationalservices healthcare socialassistance,50k-74k,4,Minnesota,us-mn-04,1
2019,4_MO,Educationalservices healthcare socialassistance,50k-74k,4,Missouri,us-mo-04,1
2019,4_MS,Educationalservices healthcare socialassistance,50k-74k,4,Mississippi,us-ms-04,1
2019,4_NC,Educationalservices healthcare socialassistance,50k-74k,4,North Carolina,us-nc-04,1
2019,4_NJ,Educationalservices healthcare socialassistance,150k and more,4,New Jersey,us-nj-04,1
2019,4_NV,Arts entertainment and foodservices,50k-74k,4,Nevada,us-nv-04,3
2019,4_NY,Educationalservices healthcare socialassistance,150k and more,4,New York,us-ny-04,1
2019,4_OH,Manufacturing,50k-74k,4,Ohio,us-oh-04,4
2019,4_OK,Educationalservices healthcare socialassistance,50k-74k,4,Oklahoma,us-ok-04,1
2019,4_OR,Educationalservices healthcare socialassistance,50k-74k,4,Oregon,us-or-04,1
2019,4_PA,Educationalservices healthcare socialassistance,150k and more,4,Pennsylvania,us-pa-04,1
2019,4_SC,Manufacturing,50k-74k,4,South Carolina,us-sc-04,4
2019,4_TN,Manufacturing,50k-74k,4,Tennessee,us-tn-04,4
2019,4_TX,Educationalservices healthcare socialassistance,50k-74k,4,Texas,us-tx-04,1
2019,4_UT,Educationalservices healthcare socialassistance,100k-149k,4,Utah,us-ut-04,1
2019,4_VA,Educationalservices healthcare socialassistance,50k-74k,4,Virginia,us-va-04,1
2019,4_WA,Educationalservices healthcare socialassistance,50k-74k,4,Washington,us-wa-04,1
2019,4_WI,Educationalservices healthcare socialassistance,50k-74k,4,Wisconsin,us-wi-04,1
2019,40_CA,Educationalservices healthcare socialassistance,150k and more,40,California,us-ca-40,1
2019,41_CA,Educationalservices healthcare socialassistance,150k and more,41,California,us-ca-41,1
2019,42_CA,Educationalservices healthcare socialassistance,50k-74k,42,California,us-ca-42,1
2019,43_CA,Educationalservices healthcare socialassistance,50k-74k,43,California,us-ca-43,1
2019,44_CA,Educationalservices healthcare socialassistance,50k-74k,44,California,us-ca-44,1
2019,45_CA,Educationalservices healthcare socialassistance,150k and more,45,California,us-ca-45,1
2019,46_CA,Manufacturing,50k-74k,46,California,us-ca-46,4
2019,47_CA,Professional services,150k and more,47,California,us-ca-47,2
2019,48_CA,Educationalservices healthcare socialassistance,150k and more,48,California,us-ca-48,1
2019,49_CA,Professional services,150k and more,49,California,us-ca-49,2
2019,5_AL,Educationalservices healthcare socialassistance,50k-74k,5,Alabama,us-al-05,1
2019,5_AZ,Educationalservices healthcare socialassistance,100k-149k,5,Arizona,us-az-05,1
2019,5_CA,Educationalservices healthcare socialassistance,50k-74k,5,California,us-ca-05,1
