Income,income_value,education_range,education_value
Less than 5k,0.023663862,Bachelors degree or higher,0.298678968
Less than 5k,0.039018179,Bachelors degree or higher,0.342796413
Less than 5k,0.011688769,Bachelors degree or higher,0.53247643
Less than 5k,0.023768646,Bachelors degree or higher,0.225390914
Less than 5k,0.02664655,Bachelors degree or higher,0.621343298
Less than 5k,0.020663361,Bachelors degree or higher,0.27673033
Less than 5k,0.024923244,Bachelors degree or higher,0.466167758
Less than 5k,0.018511991,Bachelors degree or higher,0.393378333
Less than 5k,0.025100195,Bachelors degree or higher,0.497374587
Less than 5k,0.025049854,Bachelors degree or higher,0.292744966
Less than 5k,0.02020615,Bachelors degree or higher,0.519573649
Less than 5k,0.034251647,Bachelors degree or higher,0.364569915
Less than 5k,0.053774661,Bachelors degree or higher,0.295203173
Less than 5k,0.016922775,Bachelors degree or higher,0.276447336
Less than 5k,0.030718883,Bachelors degree or higher,0.200662647
Less than 5k,0.014171268,Bachelors degree or higher,0.657906078
Less than 5k,0.035340564,Bachelors degree or higher,0.477257277
Less than 5k,0.034597186,Bachelors degree or higher,0.193561571
Less than 5k,0.041989215,Bachelors degree or higher,0.207443289
Less than 5k,0.031043666,Bachelors degree or higher,0.214247879
Less than 5k,0.0509837,Bachelors degree or higher,0.241437248
Less than 5k,0.025677595,Bachelors degree or higher,0.401823764
Less than 5k,0.022031154,Bachelors degree or higher,0.494299242
Less than 5k,0.037985358,Bachelors degree or higher,0.716839234
Less than 5k,0.024881073,Bachelors degree or higher,0.246755857
Less than 5k,0.039451476,Bachelors degree or higher,0.402456199
Less than 5k,0.024463626,Bachelors degree or higher,0.28959722
Less than 5k,0.040574469,Bachelors degree or higher,0.124953499
Less than 5k,0.035175766,Bachelors degree or higher,0.320950915
Less than 5k,0.029233354,Bachelors degree or higher,0.301832625
Less than 5k,0.043814844,Bachelors degree or higher,0.296164783
Less than 5k,0.061990763,Bachelors degree or higher,0.201873001
Less than 5k,0.026554235,Bachelors degree or higher,0.348585235
Less than 5k,0.049185254,Bachelors degree or higher,0.390158497
Less than 5k,0.030442552,Bachelors degree or higher,0.302616346
Less than 5k,0.024705834,Bachelors degree or higher,0.195608721
Less than 5k,0.035275511,Bachelors degree or higher,0.195330266
Less than 5k,0.01886436,Bachelors degree or higher,0.430289571
Less than 5k,0.0390339,Bachelors degree or higher,0.374168176
Less than 5k,0.025751883,Bachelors degree or higher,0.245042819
Less than 5k,0.031228482,Bachelors degree or higher,0.26214116
Less than 5k,0.02717488,Bachelors degree or higher,0.444333852
Less than 5k,0.050661698,Bachelors degree or higher,0.306922924
Less than 5k,0.02668454,Bachelors degree or higher,0.23545291
Less than 5k,0.025669715,Bachelors degree or higher,0.291194472
Less than 5k,0.033256639,Bachelors degree or higher,0.234235981
Less than 5k,0.019675844,Bachelors degree or higher,0.48985033
Less than 5k,0.037629095,Bachelors degree or higher,0.304442826
Less than 5k,0.029863343,Bachelors degree or higher,0.196993033
Less than 5k,0.062474823,Bachelors degree or higher,0.200950796
Less than 5k,0.022218657,Bachelors degree or higher,0.327577059
Less than 5k,0.027449757,Bachelors degree or higher,0.230084347
Less than 5k,0.039281911,Bachelors degree or higher,0.192187527
Less than 5k,0.01679753,Bachelors degree or higher,0.614755975
Less than 5k,0.026138388,Bachelors degree or higher,0.295935518
Less than 5k,0.020898368,Bachelors degree or higher,0.254305751
Less than 5k,0.028623548,Bachelors degree or higher,0.467413437
Less than 5k,0.025572961,Bachelors degree or higher,0.29549378
Less than 5k,0.039178392,Bachelors degree or higher,0.23430317
Less than 5k,0.016729628,Bachelors degree or higher,0.682122658
Less than 5k,0.028556515,Bachelors degree or higher,0.27804064
Less than 5k,0.043079484,Bachelors degree or higher,0.255875121
Less than 5k,0.018752316,Bachelors degree or higher,0.452990181
Less than 5k,0.020876338,Bachelors degree or higher,0.416003051
Less than 5k,0.035113689,Bachelors degree or higher,0.248906438
Less than 5k,0.017142844,Bachelors degree or higher,0.321435064
Less than 5k,0.037362903,Bachelors degree or higher,0.179849662
Less than 5k,0.02502907,Bachelors degree or higher,0.327603287
Less than 5k,0.038434944,Bachelors degree or higher,0.185507302
Less than 5k,0.026474437,Bachelors degree or higher,0.377401775
Less than 5k,0.032555658,Bachelors degree or higher,0.276657336
Less than 5k,0.033675532,Bachelors degree or higher,0.279301177
Less than 5k,0.036095543,Bachelors degree or higher,0.214856489
Less than 5k,0.044055811,Bachelors degree or higher,0.212481588
Less than 5k,0.038687774,Bachelors degree or higher,0.32723078
Less than 5k,0.043022225,Bachelors degree or higher,0.187107359
Less than 5k,0.025440735,Bachelors degree or higher,0.363754566
Less than 5k,0.028711937,Bachelors degree or higher,0.451073992
Less than 5k,0.023360241,Bachelors degree or higher,0.349458421
Less than 5k,0.041994769,Bachelors degree or higher,0.257268597
Less than 5k,0.053185334,Bachelors degree or higher,0.208362101
Less than 5k,0.029754725,Bachelors degree or higher,0.274460383
Less than 5k,0.022841998,Bachelors degree or higher,0.265083964
Less than 5k,0.025238129,Bachelors degree or higher,0.248878971
Less than 5k,0.060580113,Bachelors degree or higher,0.243469763
Less than 5k,0.034815199,Bachelors degree or higher,0.216778845
Less than 5k,0.032525195,Bachelors degree or higher,0.263476133
Less than 5k,0.02945881,Bachelors degree or higher,0.210406381
Less than 5k,0.054709699,Bachelors degree or higher,0.281366343
Less than 5k,0.025310453,Bachelors degree or higher,0.412098286
Less than 5k,0.024907209,Bachelors degree or higher,0.434863641
Less than 5k,0.028470291,Bachelors degree or higher,0.243127004
Less than 5k,0.025648702,Bachelors degree or higher,0.169888946
Less than 5k,0.013637139,Bachelors degree or higher,0.430736893
Less than 5k,0.018089554,Bachelors degree or higher,0.520023549
Less than 5k,0.050359631,Bachelors degree or higher,0.217630744
Less than 5k,0.025460304,Bachelors degree or higher,0.278747327
Less than 5k,0.021042092,Bachelors degree or higher,0.560079367
Less than 5k,0.026914562,Bachelors degree or higher,0.379178581
Less than 5k,0.019338771,Bachelors degree or higher,0.349276222
Less than 5k,0.029100429,Bachelors degree or higher,0.276130236
Less than 5k,0.048091981,Bachelors degree or higher,0.210983709
Less than 5k,0.026254937,Bachelors degree or higher,0.247760996
Less than 5k,0.019336112,Bachelors degree or higher,0.338062013
Less than 5k,0.034069653,Bachelors degree or higher,0.169039478
Less than 5k,0.033034226,Bachelors degree or higher,0.177736146
Less than 5k,0.031328902,Bachelors degree or higher,0.201787345
Less than 5k,0.043893807,Bachelors degree or higher,0.221042978
Less than 5k,0.027438295,Bachelors degree or higher,0.312447083
Less than 5k,0.031985096,Bachelors degree or higher,0.264366019
Less than 5k,0.035326703,Bachelors degree or higher,0.32076206
Less than 5k,0.026202116,Bachelors degree or higher,0.301584814
Less than 5k,0.020728398,Bachelors degree or higher,0.300663692
Less than 5k,0.021752459,Bachelors degree or higher,0.335355318
Less than 5k,0.024920423,Bachelors degree or higher,0.290769247
Less than 5k,0.025282306,Bachelors degree or higher,0.470568862
Less than 5k,0.031668159,Bachelors degree or higher,0.229248341
Less than 5k,0.032900696,Bachelors degree or higher,0.216939889
Less than 5k,0.034172377,Bachelors degree or higher,0.296240574
Less than 5k,0.024942236,Bachelors degree or higher,0.400618474
Less than 5k,0.033600905,Bachelors degree or higher,0.285968586
Less than 5k,0.053337295,Bachelors degree or higher,0.080189135
Less than 5k,0.036220903,Bachelors degree or higher,0.25955766
Less than 5k,0.027624597,Bachelors degree or higher,0.241733307
Less than 5k,0.019584276,Bachelors degree or higher,0.329317159
Less than 5k,0.034143366,Bachelors degree or higher,0.128920116
Less than 5k,0.030804534,Bachelors degree or higher,0.322601986
Less than 5k,0.03604146,Bachelors degree or higher,0.299371248
Less than 5k,0.039372113,Bachelors degree or higher,0.298538829
Less than 5k,0.037161261,Bachelors degree or higher,0.163066502
Less than 5k,0.040373219,Bachelors degree or higher,0.424510484
Less than 5k,0.026619696,Bachelors degree or higher,0.278084867
Less than 5k,0.030204261,Bachelors degree or higher,0.288044433
Less than 5k,0.028263538,Bachelors degree or higher,0.282454835
Less than 5k,0.043364105,Bachelors degree or higher,0.27499607
Less than 5k,0.02535632,Bachelors degree or higher,0.283035592
Less than 5k,0.025239941,Bachelors degree or higher,0.467624879
Less than 5k,0.043051551,Bachelors degree or higher,0.159618208
Less than 5k,0.038220756,Bachelors degree or higher,0.363640784
Less than 5k,0.033682894,Bachelors degree or higher,0.333627054
Less than 5k,0.029338726,Bachelors degree or higher,0.22489551
Less than 5k,0.019527822,Bachelors degree or higher,0.297225673
Less than 5k,0.035852373,Bachelors degree or higher,0.221244082
Less than 5k,0.041636554,Bachelors degree or higher,0.332050681
Less than 5k,0.018239373,Bachelors degree or higher,0.465596422
Less than 5k,0.023256699,Bachelors degree or higher,0.286860025
Less than 5k,0.035558003,Bachelors degree or higher,0.367558516
Less than 5k,0.034381726,Bachelors degree or higher,0.171440013
Less than 5k,0.026438786,Bachelors degree or higher,0.338862133
Less than 5k,0.027959407,Bachelors degree or higher,0.281886415
Less than 5k,0.037114091,Bachelors degree or higher,0.196436542
Less than 5k,0.032148652,Bachelors degree or higher,0.209944351
Less than 5k,0.038090888,Bachelors degree or higher,0.069558478
Less than 5k,0.055507733,Bachelors degree or higher,0.202544084
Less than 5k,0.028658644,Bachelors degree or higher,0.284330576
Less than 5k,0.045805266,Bachelors degree or higher,0.138622357
Less than 5k,0.025478765,Bachelors degree or higher,0.330405817
Less than 5k,0.031839945,Bachelors degree or higher,0.271445106
Less than 5k,0.030942506,Bachelors degree or higher,0.370043858
Less than 5k,0.045523241,Bachelors degree or higher,0.228844722
Less than 5k,0.032580105,Bachelors degree or higher,0.260902722
Less than 5k,0.021656518,Bachelors degree or higher,0.359613235
Less than 5k,0.026968468,Bachelors degree or higher,0.42695911
Less than 5k,0.022218961,Bachelors degree or higher,0.238625477
Less than 5k,0.019358288,Bachelors degree or higher,0.49932987
Less than 5k,0.03723757,Bachelors degree or higher,0.313865222
Less than 5k,0.042247954,Bachelors degree or higher,0.214337969
Less than 5k,0.022742257,Bachelors degree or higher,0.354091774
Less than 5k,0.01957517,Bachelors degree or higher,0.470154444
Less than 5k,0.022220291,Bachelors degree or higher,0.321694992
Less than 5k,0.013806748,Bachelors degree or higher,0.486843641
Less than 5k,0.022432467,Bachelors degree or higher,0.332678195
Less than 5k,0.049186286,Bachelors degree or higher,0.214499711
Less than 5k,0.036122207,Bachelors degree or higher,0.208413129
Less than 5k,0.024247591,Bachelors degree or higher,0.224344396
Less than 5k,0.020367038,Bachelors degree or higher,0.427408779
Less than 5k,0.04003576,Bachelors degree or higher,0.212581306
Less than 5k,0.037355234,Bachelors degree or higher,0.284242021
Less than 5k,0.024688485,Bachelors degree or higher,0.58287507
Less than 5k,0.031373937,Bachelors degree or higher,0.404203667
Less than 5k,0.041286758,Bachelors degree or higher,0.178280065
Less than 5k,0.025881112,Bachelors degree or higher,0.34337408
Less than 5k,0.060212038,Bachelors degree or higher,0.389591171
Less than 5k,0.039166332,Bachelors degree or higher,0.226346808
Less than 5k,0.031868661,Bachelors degree or higher,0.244031071
Less than 5k,0.018989041,Bachelors degree or higher,0.430316751
Less than 5k,0.02577395,Bachelors degree or higher,0.286280385
Less than 5k,0.044407136,Bachelors degree or higher,0.241382829
Less than 5k,0.022331691,Bachelors degree or higher,0.257399317
Less than 5k,0.021327061,Bachelors degree or higher,0.238337992
Less than 5k,0.036730602,Bachelors degree or higher,0.445245827
Less than 5k,0.041187514,Bachelors degree or higher,0.210446399
Less than 5k,0.024088244,Bachelors degree or higher,0.253724493
Less than 5k,0.019417854,Bachelors degree or higher,0.291332213
Less than 5k,0.034572996,Bachelors degree or higher,0.460026267
Less than 5k,0.019211631,Bachelors degree or higher,0.469401681
Less than 5k,0.021508757,Bachelors degree or higher,0.100863416
Less than 5k,0.030621629,Bachelors degree or higher,0.207234864
Less than 5k,0.04400319,Bachelors degree or higher,0.315372247
Less than 5k,0.04262545,Bachelors degree or higher,0.174125803
Less than 5k,0.021278505,Bachelors degree or higher,0.282266644
Less than 5k,0.039563156,Bachelors degree or higher,0.271165151
Less than 5k,0.031320755,Bachelors degree or higher,0.701964364
Less than 5k,0.028989585,Bachelors degree or higher,0.196713153
Less than 5k,0.040136581,Bachelors degree or higher,0.372198648
Less than 5k,0.02724635,Bachelors degree or higher,0.529507117
Less than 5k,0.025640812,Bachelors degree or higher,0.278664907
Less than 5k,0.006102212,Bachelors degree or higher,0.191485079
Less than 5k,0.023158205,Bachelors degree or higher,0.198664473
Less than 5k,0.03436901,Bachelors degree or higher,0.164868718
Less than 5k,0.038616189,Bachelors degree or higher,0.16926467
Less than 5k,0.032064355,Bachelors degree or higher,0.342645985
Less than 5k,0.027818454,Bachelors degree or higher,0.273824259
Less than 5k,0.018184182,Bachelors degree or higher,0.445079186
Less than 5k,0.022474263,Bachelors degree or higher,0.482604096
Less than 5k,0.041346672,Bachelors degree or higher,0.219156587
Less than 5k,0.029246799,Bachelors degree or higher,0.34323986
Less than 5k,0.029431689,Bachelors degree or higher,0.233225965
Less than 5k,0.043722044,Bachelors degree or higher,0.233030526
Less than 5k,0.026529245,Bachelors degree or higher,0.275766134
Less than 5k,0.028889325,Bachelors degree or higher,0.271250616
Less than 5k,0.027459127,Bachelors degree or higher,0.299865367
Less than 5k,0.045653664,Bachelors degree or higher,0.177524447
Less than 5k,0.026538539,Bachelors degree or higher,0.458249681
Less than 5k,0.02823539,Bachelors degree or higher,0.314088453
Less than 5k,0.030276677,Bachelors degree or higher,0.27632023
Less than 5k,0.025488762,Bachelors degree or higher,0.401626451
Less than 5k,0.021382235,Bachelors degree or higher,0.241459296
Less than 5k,0.03928517,Bachelors degree or higher,0.199488266
Less than 5k,0.030092541,Bachelors degree or higher,0.438679963
Less than 5k,0.02175985,Bachelors degree or higher,0.361364871
Less than 5k,0.022002512,Bachelors degree or higher,0.188885781
Less than 5k,0.014193865,Bachelors degree or higher,0.425802411
Less than 5k,0.02623817,Bachelors degree or higher,0.22815116
Less than 5k,0.030496447,Bachelors degree or higher,0.249422877
Less than 5k,0.034043021,Bachelors degree or higher,0.256875401
Less than 5k,0.020583095,Bachelors degree or higher,0.457556516
Less than 5k,0.033442718,Bachelors degree or higher,0.308514728
Less than 5k,0.029696519,Bachelors degree or higher,0.216152104
Less than 5k,0.031390364,Bachelors degree or higher,0.208246267
Less than 5k,0.017157461,Bachelors degree or higher,0.336918244
Less than 5k,0.035352474,Bachelors degree or higher,0.257561862
Less than 5k,0.022493659,Bachelors degree or higher,0.19961201
Less than 5k,0.049408065,Bachelors degree or higher,0.26735737
Less than 5k,0.021682746,Bachelors degree or higher,0.38039479
Less than 5k,0.030267753,Bachelors degree or higher,0.273562699
Less than 5k,0.032270842,Bachelors degree or higher,0.280999786
Less than 5k,0.036446307,Bachelors degree or higher,0.271458417
Less than 5k,0.030033296,Bachelors degree or higher,0.196806045
Less than 5k,0.018767132,Bachelors degree or higher,0.378530704
Less than 5k,0.028752661,Bachelors degree or higher,0.238797673
Less than 5k,0.033022154,Bachelors degree or higher,0.454870923
Less than 5k,0.024548686,Bachelors degree or higher,0.286487018
Less than 5k,0.024892793,Bachelors degree or higher,0.478122783
Less than 5k,0.028289949,Bachelors degree or higher,0.343719809
Less than 5k,0.022557644,Bachelors degree or higher,0.390050158
Less than 5k,0.026208005,Bachelors degree or higher,0.209186754
Less than 5k,0.025799735,Bachelors degree or higher,0.345639379
Less than 5k,0.025091973,Bachelors degree or higher,0.35694807
Less than 5k,0.030120637,Bachelors degree or higher,0.381552778
Less than 5k,0.041725631,Bachelors degree or higher,0.525459524
Less than 5k,0.03478024,Bachelors degree or higher,0.831601147
Less than 5k,0.028113525,Bachelors degree or higher,0.40373815
Less than 5k,0.057017177,Bachelors degree or higher,0.146076646
Less than 5k,0.049297534,Bachelors degree or higher,0.178249077
Less than 5k,0.025704363,Bachelors degree or higher,0.566255518
Less than 5k,0.018100043,Bachelors degree or higher,0.357818208
Less than 5k,0.025003302,Bachelors degree or higher,0.20822907
Less than 5k,0.02901114,Bachelors degree or higher,0.457437329
Less than 5k,0.038382983,Bachelors degree or higher,0.310682329
Less than 5k,0.032738231,Bachelors degree or higher,0.277752356
Less than 5k,0.017825638,Bachelors degree or higher,0.52297043
Less than 5k,0.029929774,Bachelors degree or higher,0.312934444
Less than 5k,0.028977688,Bachelors degree or higher,0.223661628
Less than 5k,0.03281879,Bachelors degree or higher,0.297826777
Less than 5k,0.027048823,Bachelors degree or higher,0.340876467
Less than 5k,0.027296541,Bachelors degree or higher,0.40259765
Less than 5k,0.03400291,Bachelors degree or higher,0.268377706
Less than 5k,0.024013624,Bachelors degree or higher,0.388660983
Less than 5k,0.026010604,Bachelors degree or higher,0.183848342
Less than 5k,0.03332651,Bachelors degree or higher,0.318202299
Less than 5k,0.031256877,Bachelors degree or higher,0.271025143
Less than 5k,0.016162062,Bachelors degree or higher,0.444848662
Less than 5k,0.026720681,Bachelors degree or higher,0.47581255
Less than 5k,0.023182851,Bachelors degree or higher,0.460947426
Less than 5k,0.027046118,Bachelors degree or higher,0.210084007
Less than 5k,0.033576296,Bachelors degree or higher,0.325648827
Less than 5k,0.032862354,Bachelors degree or higher,0.286048253
Less than 5k,0.028416537,Bachelors degree or higher,0.260515491
Less than 5k,0.02188808,Bachelors degree or higher,0.403503696
Less than 5k,0.034772262,Bachelors degree or higher,0.216989517
Less than 5k,0.019819208,Bachelors degree or higher,0.475674598
Less than 5k,0.034854286,Bachelors degree or higher,0.307788424
Less than 5k,0.024837009,Bachelors degree or higher,0.249492525
Less than 5k,0.03169284,Bachelors degree or higher,0.34034031
Less than 5k,0.02816148,Bachelors degree or higher,0.31786184
Less than 5k,0.023158724,Bachelors degree or higher,0.476918747
Less than 5k,0.021899964,Bachelors degree or higher,0.376489583
Less than 5k,0.026104077,Bachelors degree or higher,0.444613809
Less than 5k,0.016824219,Bachelors degree or higher,0.30312941
Less than 5k,0.028910521,Bachelors degree or higher,0.250257159
Less than 5k,0.035892235,Bachelors degree or higher,0.279126325
Less than 5k,0.024707944,Bachelors degree or higher,0.387433064
Less than 5k,0.032093503,Bachelors degree or higher,0.297628382
Less than 5k,0.037415733,Bachelors degree or higher,0.188156327
Less than 5k,0.023108493,Bachelors degree or higher,0.333464698
Less than 5k,0.020483171,Bachelors degree or higher,0.444651389
Less than 5k,0.050191039,Bachelors degree or higher,0.27941471
Less than 5k,0.033840472,Bachelors degree or higher,0.237361188
Less than 5k,0.028721307,Bachelors degree or higher,0.160912645
Less than 5k,0.029207732,Bachelors degree or higher,0.253636485
Less than 5k,0.024397403,Bachelors degree or higher,0.279731604
Less than 5k,0.020473002,Bachelors degree or higher,0.278087215
Less than 5k,0.048490627,Bachelors degree or higher,0.196135453
Less than 5k,0.041492796,Bachelors degree or higher,0.156616008
Less than 5k,0.028753782,Bachelors degree or higher,0.307135951
Less than 5k,0.021692138,Bachelors degree or higher,0.408694136
Less than 5k,0.031422422,Bachelors degree or higher,0.366603464
Less than 5k,0.023249167,Bachelors degree or higher,0.40512049
Less than 5k,0.054521975,Bachelors degree or higher,0.530916059
Less than 5k,0.065733453,Bachelors degree or higher,0.298777033
Less than 5k,0.042853008,Bachelors degree or higher,0.449060051
Less than 5k,0.051906895,Bachelors degree or higher,0.285357465
Less than 5k,0.028318528,Bachelors degree or higher,0.335083172
Less than 5k,0.022563341,Bachelors degree or higher,0.227299243
Less than 5k,0.028178194,Bachelors degree or higher,0.243068616
Less than 5k,0.045550194,Bachelors degree or higher,0.251064623
Less than 5k,0.015694364,Bachelors degree or higher,0.520588338
Less than 5k,0.045954302,Bachelors degree or higher,0.425253263
Less than 5k,0.016442793,Bachelors degree or higher,0.410408461
Less than 5k,0.01974716,Bachelors degree or higher,0.295658911
Less than 5k,0.044591024,Bachelors degree or higher,0.206679325
Less than 5k,0.03221765,Bachelors degree or higher,0.309052564
Less than 5k,0.030232038,Bachelors degree or higher,0.512014769
Less than 5k,0.014850473,Bachelors degree or higher,0.351647963
Less than 5k,0.023255234,Bachelors degree or higher,0.623307455
Less than 5k,0.022101925,Bachelors degree or higher,0.233437581
Less than 5k,0.032575664,Bachelors degree or higher,0.246953344
Less than 5k,0.028533891,Bachelors degree or higher,0.289372683
Less than 5k,0.020980132,Bachelors degree or higher,0.287454467
Less than 5k,0.027169426,Bachelors degree or higher,0.298667057
Less than 5k,0.062200713,Bachelors degree or higher,0.184538128
Less than 5k,0.021413822,Bachelors degree or higher,0.420439253
Less than 5k,0.030443106,Bachelors degree or higher,0.210149605
Less than 5k,0.032714284,Bachelors degree or higher,0.484226524
Less than 5k,0.017134132,Bachelors degree or higher,0.580714919
Less than 5k,0.036162148,Bachelors degree or higher,0.221362834
Less than 5k,0.02307103,Bachelors degree or higher,0.254818254
Less than 5k,0.032533113,Bachelors degree or higher,0.188777751
Less than 5k,0.027831181,Bachelors degree or higher,0.27543841
Less than 5k,0.028829492,Bachelors degree or higher,0.392664614
Less than 5k,0.046632162,Bachelors degree or higher,0.323445938
Less than 5k,0.025885559,Bachelors degree or higher,0.241414166
Less than 5k,0.029957872,Bachelors degree or higher,0.240106009
Less than 5k,0.039495916,Bachelors degree or higher,0.173425302
Less than 5k,0.023941233,Bachelors degree or higher,0.305467668
Less than 5k,0.01837979,Bachelors degree or higher,0.623252059
Less than 5k,0.014990426,Bachelors degree or higher,0.442583168
Less than 5k,0.023038337,Bachelors degree or higher,0.266901975
Less than 5k,0.031093777,Bachelors degree or higher,0.184333956
Less than 5k,0.028411647,Bachelors degree or higher,0.191003674
Less than 5k,0.024717046,Bachelors degree or higher,0.272681554
Less than 5k,0.027547124,Bachelors degree or higher,0.228332198
Less than 5k,0.033726651,Bachelors degree or higher,0.555126801
Less than 5k,0.033582952,Bachelors degree or higher,0.245992216
Less than 5k,0.024088387,Bachelors degree or higher,0.36098465
Less than 5k,0.020912656,Bachelors degree or higher,0.28679365
Less than 5k,0.029407388,Bachelors degree or higher,0.346617277
Less than 5k,0.029777514,Bachelors degree or higher,0.326562831
Less than 5k,0.037901606,Bachelors degree or higher,0.344480893
Less than 5k,0.035180287,Bachelors degree or higher,0.246324107
Less than 5k,0.026873868,Bachelors degree or higher,0.221899626
Less than 5k,0.050000659,Bachelors degree or higher,0.30278789
Less than 5k,0.039317299,Bachelors degree or higher,0.284981829
Less than 5k,0.042374611,Bachelors degree or higher,0.226049696
Less than 5k,0.022337701,Bachelors degree or higher,0.416373138
5k-9k,0.015984802,Bachelors degree or higher,0.265102325
5k-9k,0.033488765,Bachelors degree or higher,0.583471774
5k-9k,0.019350151,Bachelors degree or higher,0.308684418
5k-9k,0.025949279,Bachelors degree or higher,0.296767348
5k-9k,0.108890449,Bachelors degree or higher,0.279185024
5k-9k,0.021095386,Bachelors degree or higher,0.283934915
5k-9k,0.017911426,Bachelors degree or higher,0.36637518
5k-9k,0.024313879,Bachelors degree or higher,0.257892419
5k-9k,0.02992108,Bachelors degree or higher,0.24109278
5k-9k,0.040469686,Bachelors degree or higher,0.174710483
5k-9k,0.01509513,Bachelors degree or higher,0.423906369
5k-9k,0.022781449,Bachelors degree or higher,0.197346034
5k-9k,0.025029251,Bachelors degree or higher,0.518413922
5k-9k,0.025876115,Bachelors degree or higher,0.355221155
5k-9k,0.021335099,Bachelors degree or higher,0.270840143
5k-9k,0.02889004,Bachelors degree or higher,0.241439286
5k-9k,0.017855647,Bachelors degree or higher,0.344551077
5k-9k,0.024578975,Bachelors degree or higher,0.293744666
5k-9k,0.016973673,Bachelors degree or higher,0.265270303
5k-9k,0.021990253,Bachelors degree or higher,0.441421922
5k-9k,0.024295969,Bachelors degree or higher,0.23945071
5k-9k,0.022761616,Bachelors degree or higher,0.225182673
5k-9k,0.039601911,Bachelors degree or higher,0.170417072
5k-9k,0.031324258,Bachelors degree or higher,0.265660936
5k-9k,0.026449097,Bachelors degree or higher,0.289623792
5k-9k,0.01974608,Bachelors degree or higher,0.297880398
5k-9k,0.017535808,Bachelors degree or higher,0.377655734
5k-9k,0.027720757,Bachelors degree or higher,0.229941147
5k-9k,0.016590157,Bachelors degree or higher,0.286119453
